word,value
i,862
siê,662
nie,530
na,473
z,457
w,447
to,374
a,350
do,317
¿e,235
ale,167
po,156
o,147
za,134
co,133
mu,131
jak,129
zbyszko,108
od,103
bo,103
go,92
tak,90
mi,90
jej,82
maæko,82
ja,77
zaœ,75
ze,75
rzek³,73
te¿,69
by³o,66
ju¿,66
ci,65
przez,59
pod,59
który,59
tego,56
jako,55
mnie,54
bêdzie,54
jest,53
pocz¹³,52
j¹,52
zbyszka,52
by³,50
jagienka,50
gdy,50
nim,49
on,49
zych,48
jeno,47
jeszcze,45
ich,45
sobie,45
dla,45
teraz,44
opat,43
wam,43
chwili,42
jego,41
rzek³?,40
mo¿e,40
tam,39
albo,39
a¿,39
bez,37
wreszcie,37
tu,36
tylko,36
im,35
jednak,34
zaraz,34
sam,33
ku,33
wiêc,33
ty,32
czy,32
gdy¿,31
bóg,31
ma,31
nic,30
przy,30
no,30
ciê,29
przecie,28
odrzek³,28
potem,27
oczy,27
jakby,27
dobrze,27
was,27
przed,26
nad,26
lecz,26
ta,26
nawet,25
bogdañca,25
które,25
mia³,25
zawo³a³,25
niego,25
chcia³,25
by³a,24
niej,24
opata,24
ni,24
niech,23
by,23
bogdañcu,22
znów,22
jagienkê,22
razem,22
nich,22
poczê³a,22
u,22
wszystko,21
wiem,21
ona,21
móg³,21
czas,21
wy,21
cztan,21
nagle,21
jurand,21
tem,21
ludzi,20
choæ,20
jeœli,20
byæ,19
aby,19
ozwa³,19
zgorzelic,19
sob¹,19
ni¿,19
ni¹,19
domu,19
zwróci³,19
gdzie,19
maæka,19
¿eby,19
ten,19
pan,18
jeden,18
jagienki,18
hej,18
których,18
wiêcej,18
mówi³,18
poczêli,17
zycha,17
wilk,17
zawsze,17
nas,17
bowiem,17
kiedy,17
coœ,17
tej,17
oni,16
dwóch,16
ziemiê,16
miêdzy,16
nieco,16
wówczas,16
i¿,16
wilka,16
poczem,16
twarz,15
raz,15
tymczasem,15
chwilê,15
byle,15
kto,15
odpowiedzia³,15
zbyszkowi,15
wiecie,15
ba,15
tym,15
widocznie,14
boru,14
którego,14
tak¿e,14
spojrza³,14
nam,14
lub,14
zbyszka?,14
ludzie,14
zapyta³?,13
jakiœ,13
konia,13
jakie,13
naprzód,13
œmierci,13
ca³kiem,13
nimi,13
œwiecie,13
trzeba,13
da,13
wzi¹³,13
rzek³a,13
stary,13
innych,12
boga,12
rad,12
chwyci³,12
zdrowie,12
widok,12
chyba,12
brzozowej,12
krakowie,12
rycerze,12
której,12
zbyszko?,12
w³aœnie,12
czego,12
my,12
mieli,12
niemców,12
wid³y,12
rêkê,11
danusi,11
dziewki,11
juranda,11
wiedzia³,11
dopiero,11
œmieræ,11
spychowa,11
mam,11
koñ,11
byli,11
krzeœni,11
siebie,11
cztana,11
choæby,11
wojny,10
ksiê¿na,10
zwierza,10
jechaæ,10
obaj,10
nogi,10
pomyœla³,10
chocia¿,10
tobie,10
trochê,10
dziewczyna,10
maæko?,10
tê,10
kaza³,10
daæ,10
zw³aszcza,10
g³owê,10
bardzo,10
rêce,9
mogê,9
by³y,9
gdyby,9
bêdê,9
podniós³,9
chc¹c,9
taki,9
taka,9
czeka³,9
grodek,9
jedno,9
widaæ,9
jagienka?,9
nigdy,9
rycerzy,9
czasie,9
ch³op,9
ciebie,9
drodze,9
s³ysza³,9
którym,9
którzy,9
wedle,9
zgorzelicach,9
widzicie,9
albowiem,9
czem,9
lepiej,9
cicho,9
zarazem,9
jednak¿e,9
mia³a,9
jak¿e,9
siê?,9
izby,9
sposób,9
oczyma,9
poszed³,9
je,9
rzek³szy,9
kuszê,9
póki,9
wiedz¹c,9
g³owy,9
poprzednio,9
czasu,9
g³ow¹,9
dwie,9
moja,8
myœla³,8
tak¹,8
nastêpnie,8
wprawdzie,8
ziemi,8
kleryków,8
j¹³,8
dalej,8
któr¹,8
ksi¹¿ê,8
zbyszkiem,8
mieæ,8
bogdaniec,8
pójdê,8
ów,8
bo¿e,8
odrzek³a,8
nieraz,8
spyta³,8
swoje,8
czemu,8
ka¿dy,8
we,8
tyle,8
ot,8
poczê³y,8
r¹k,8
wie,8
mówi¹c,8
ch³opów,8
bywa³,8
temu,8
sad³a,8
drugi,8
doœæ,8
drug¹,8
wo³aæ?,7
dzieñ,7
niedŸwiedŸ,7
œlubowa³,7
w³osy,7
strony,7
bitwie,7
dziewka,7
przyjecha³,7
g³owie,7
bêd¹,7
kilku,7
konie,7
wielk¹,7
przerwa³,7
ksiê¿ny,7
wróci³,7
nocy,7
robiæ,7
ko³o,7
drogê,7
danusia,7
noc,7
która,7
pawie,7
swego,7
wszyscy,7
ujrza³,7
jaki,7
zk¹d,7
spyta³?,7
wiatr,7
pierwszy,7
cz³owiek,7
rogowa,7
lat,7
myœli,7
ma³o,7
g³osem?,7
spogl¹da³,7
d³ugo,7
lepszego,7
odpowiedzieæ,7
lesie,7
rycerz,7
dwór,7
m³odego,7
dziewczyny,7
póŸniej,7
drugiego,7
innej,7
rady,7
czuby,7
samym,7
wozy,7
zap³aæ,7
swojej,7
zdaleka,7
dwa,7
rozum,7
czêsto,7
innego,7
toœ,7
sama,7
samo,7
zbyszku,7
odpowiedzia³a,6
natomiast,6
miejscu,6
jezus,6
wojna,6
zapyta³,6
ani,6
przytem,6
pewno,6
zupe³nie,6
rzeczywiœcie,6
serca,6
trzy,6
zawo³a³a,6
danuœka,6
rzecz,6
jedna,6
przeciw,6
oka,6
usta,6
wojnie,6
zamiast,6
waszej,6
zreszt¹,6
rycerski,6
prawie,6
widzia³em,6
pocz¹tku,6
okrutnie,6
czasem,6
s³ysza³em,6
dnia,6
macie,6
niemu,6
a¿e,6
zawisza,6
wilkiem,6
g³os,6
nikt,6
ramiona,6
ile,6
weso³o,6
ca³¹,6
ca³y,6
chcê,6
chce,6
có¿,6
musi,6
jakoby,6
pamiêtam,6
jednoczeœnie,6
mszê,6
niedŸwiedzie,6
chory,6
dworem,6
gniew,6
poczet,6
m³ody,6
piersi,6
b³ota,6
kusz¹,6
kuszy,6
sta³,6
masz,6
woli,6
g³owa,6
tatulo,6
sad³o,6
pojecha³,6
¿eœcie,6
moczydo³y,6
wróciwszy,6
bom,5
opatowi,5
myœl,5
ojciec,5
chcia³a,5
œmiej¹c,5
zwierz,5
ró¿nych,5
ano,5
ochotê,5
mgnieniu,5
powiadali,5
oczu,5
czeœæ,5
mój,5
sercu,5
serce,5
wiele,5
iœæ,5
wszystkich,5
d³oni¹,5
obieca³,5
prócz,5
piersiach,5
drugiej,5
oto,5
obu,5
zyndram,5
p¹tnik,5
spogl¹daj¹c,5
jutro,5
widzê,5
chcieli,5
siedzieæ,5
istotnie,5
pok³oniæ,5
zauwa¿y³,5
rycerskie,5
widz¹c,5
inny,5
ludziom,5
uczyni³,5
pani,5
pomoc,5
którem,5
¿yæ,5
walki,5
bywa,5
co?,5
takiego,5
widzieliœcie,5
powiem,5
lichtensteina,5
¿em,5
krzywdy,5
szyjê,5
¿al,5
niegdyœ,5
koœciele,5
drzwi,5
ksiêdza,5
ruszy³,5
topór,5
czyli,5
skoczy³a,5
spojrza³a,5
wyœcie,5
chwyciwszy,5
spogl¹daæ,5
wobec,5
trudno,5
ledwie,5
mojej,5
dawno,5
ca³e,5
hoc,5
rozmowê,5
koñcu,5
inaczej,5
niemieckie,5
swoim,5
cz³owieka,5
widzia³,5
zapach,5
któryby,5
powie,5
s¹,5
wa,5
opatem,5
zasie,5
oj,5
bór,5
bój,5
ha,5
brzegu,5
milczenie,5
milczeniu,5
pewnym,5
niespodzianie,5
podniós³szy,5
szed³,5
rzek³a?,5
³zy,5
wola,5
cztanem,5
naszych,5
siad³,5
bra³,5
stada,5
mi³uje,5
mówiæ,5
swoich,5
mówiê,5
chodzi³o,5
maj¹c,5
wnet,5
coraz,5
mogli,5
sposobnoœæ,5
¿ebrami,5
patrzeæ,5
potrzeba,5
wozie,4
kopie,4
swych,4
odt¹d,4
niedaleko,4
powodu,4
mi³y,4
w³odyka,4
bi³,4
myœleli,4
stronê,4
maækowi,4
mówili,4
stanie,4
d³oñ,4
s³u¿by,4
podnios³a,4
by³oby,4
boki,4
alem,4
niemieckich,4
dziewce,4
uderzy³,4
niech¿e,4
któremu,4
si³¹,4
alkierza,4
zastawie,4
piêknie,4
zgorzelic?,4
gorzej,4
s³oñca,4
zamek,4
uca³owa³,4
wielu,4
trza,4
zdrowia,4
jakom,4
rozmawiaæ,4
zbyt,4
równie¿,4
wœród,4
przypomnia³,4
jad³a,4
koniu,4
boska,4
wspar³,4
uda³,4
obok,4
wszystkiem,4
pi³,4
ca³ej,4
naszego,4
jaœko,4
górê,4
natychmiast,4
wielce,4
wyprawê,4
spychowie,4
jakieœ,4
wszed³,4
czekaæ,4
zali,4
wielkie,4
wielkim,4
uszu,4
powiedzia³,4
³bów,4
taniec,4
jednej,4
miodu,4
g³êboko,4
droga,4
mówi,4
mówiæ?,4
jeñców,4
bólu,4
siedzia³,4
kmieciów,4
jakich,4
niewoli,4
mn¹,4
mog³a,4
mog³o,4
maszkowic,4
pieni¹dze,4
drzewa,4
królestwie,4
w³asnych,4
zosta³,4
czemuœ,4
zychowi,4
twarzy,4
twarz¹,4
piêciu,4
pana,4
jagience,4
dziwujê,4
owdzie,4
blisko,4
myœlê,4
jakowyœ,4
krzy¿acy,4
szyi,4
czerwone,4
¿ebym,4
zabij¹,4
wziêli,4
niezad³ugo,4
przyjd¹,4
krew,4
coœcie,4
kraj,4
kroków,4
takie,4
lubo,4
ul¿y³o,4
koœcio³a,4
malborga,4
s³owa,4
pojadê,4
czu³,4
pochyli³,4
œwiat,4
bójcie,4
straci³,4
zwolna,4
d³ugi,4
skóry,4
dawne,4
zatrzyma³,4
winem,4
pró¿no,4
daleko,4
stryjko,4
kilkunastu,4
zawo³a³?,4
œwiata,4
prawo,4
alibo,4
mówi³a,4
przyszed³,4
swej,4
guz,4
d³ugie,4
powiada,4
radzi,4
wraz,4
rozeœmia³,4
ojca,4
t¹,4
pacho³ka,4
te,4
tych,4
panna,4
ciechanowa,4
pacho³ek,4
przysz³a,4
przysz³o,4
rany,4
edyga,4
bêdziesz,4
czyniæ,4
niedŸwiedzia,4
czyni³,4
rada,4
bêdziem,4
wito³d,4
otworzy³,4
wykupiæ,4
m³odzianka,4
pewnie,4
klerycy,4
tatuœ,4
jagienka?i,4
doda³?,4
otuchy,4
