word,value
i,2310
siê,2084
w,1518
nie,1327
na,1311
z,1167
do,978
¿e,866
a,855
to,563
pan,463
o,442
za,420
ale,408
wokulski,371
jak,355
mu,324
jest,301
mnie,299
co,283
po,278
go,269
od,267
tak,266
jej,266
mi,252
nawet,244
ja,243
ju¿,242
tylko,233
jego,211
który,210
czy,192
panna,190
ten,183
jeszcze,176
dla,172
mo¿e,166
sobie,164
ze,160
on,159
izabela,157
panie,157
by³,148
bardzo,147
albo,146
by³o,137
wiêc,137
przez,130
bo,126
a¿eby,124
ma,124
przy,122
cz³owiek,121
wokulskiego,121
tej,120
tego,118
odpar³,117
rubli,115
nim,111
nic,110
chwili,106
nas,106
ich,106
dziœ,105
j¹,105
u,103
przed,101
kiedy,100
znowu,99
je¿eli,98
jakby,95
bêdzie,95
pod,95
tam,93
tu,93
rzek³,91
wszystko,91
mia³,91
gdy,91
niej,90
pana,88
sklepu,87
mówi³,86
jednak,86
nad,86
które,84
mam,83
zaœ,82
tem,82
ci,82
byæ,81
parê,80
lecz,80
no,80
panny,80
bez,79
pani,79
sam,77
te,75
baron,73
potem,72
gdzie,71
gdyby,70
nich,69
raz,68
s¹,68
ona,67
kilka,65
która,65
siebie,65
jakiœ,64
jestem,64
kto,64
izabeli,64
coœ,64
ignacy,63
oczy,63
niech,63
tym,62
którym,61
miêdzy,60
niego,60
ojciec,59
dopiero,59
odpowiedzia³,59
mój,59
dobrze,59
ani,58
ach,58
których,58
tych,58
rêkê,57
wiêcej,57
trochê,56
stary,56
ni¹,56
by³a,55
jeden,55
tysiêcy,54
we,53
myœla³,52
ksi¹¿ê,51
drugi,51
dzieñ,51
zawsze,51
ty,51
hrabina,50
sklepie,50
nam,50
domu,50
có¿,50
ciê,50
rêce,49
którzy,49
taki,49
wiem,49
doda³,49
tomasz,49
dwa,49
ludzi,48
spyta³,48
chce,47
roku,47
zreszt¹,46
drzwi,46
te¿,46
sposób,46
której,45
wszyscy,45
im,45
panu,43
sklep,43
teraz,43
hrabia,43
proszê,43
swego,43
mo¿na,43
p,43
nagle,42
razy,41
chyba,41
pieni¹dze,41
wokulski?,41
odezwa³,40
szepn¹³,40
ani¿eli,40
bêdê,40
oni,40
choæ,40
g³owê,40
nigdy,39
prawie,39
siê?,39
zdawa³o,39
zaraz,39
ktoœ,38
klacz,38
wreszcie,38
lat,38
je,38
nasz,37
wszystkich,37
maj¹tek,37
cz³owieka,37
chcia³,37
któr¹,37
katz,37
m³ody,37
którego,36
razie,36
ludzie,36
musi,36
coraz,36
zawo³a³,36
ca³y,36
a¿,36
czasu,36
by³y,35
mraczewski,35
wszystkie,35
mincel,35
rzecki,35
patrz¹c,35
jutro,35
dalej,34
wie,34
wokulskiemu,34
móg³,34
wtedy,34
œwiat,34
póŸniej,34
dni,34
tak¿e,33
trzy,33
fotelu,33
takim,33
twarz,33
kilku,33
adwokat,33
myœlê,33
mówi³a,33
rzek³a,33
ulicy,32
stronê,32
mówi,32
ile,32
w³aœnie,32
ta,32
myœl,31
swoje,31
chwilê,31
ka¿dy,31
my,31
panowie,31
g³ow¹,31
zrobi³,30
przecie,30
gdy¿,30
mówiê,30
oto,30
innych,29
spojrza³,29
lisiecki,29
tyle,29
pannê,29
choæby,29
nami,28
kupiec,28
wszed³,28
czas,28
przecie¿,28
nareszcie,28
moje,28
wiesz,28
jaki,28
dnia,28
ojca,28
dwu,28
florentyna,27
ochocki,27
³êcki,27
nietylko,27
zacz¹³,27
trzeba,27
wtr¹ci³,27
list,27
myœli,27
znam,27
czego,27
pokoju,27
raczek,26
takie,26
niema,26
ciotka,26
ci¹gle,26
pomyœla³,26
mn¹,26
mrukn¹³,26
oko³o,26
ci¹gn¹³,25
muszê,25
sob¹,25
naprzód,25
pierwszy,25
razem,25
byli,25
bo¿e,25
dziesiêæ,25
hrabiny,25
wokulskim,25
jedno,25
zdaje,25
niekiedy,25
meliton,25
piêæ,25
ca³¹,25
izabelê,25
bowiem,24
czem,24
gdzieœ,24
wówczas,24
otó¿,24
pó³,24
naprawdê,24
lub,24
tê,24
masz,24
dom,24
swoich,24
robi,23
wróci³,23
jakieœ,23
damy,23
rzeczy,23
nieco,23
swoim,23
mogê,23
zapewne,23
widaæ,23
zk¹d,23
jan,23
g³os,23
bóg,23
sta³,23
nasze,22
obok,22
przerwa³,22
ciebie,22
interes,22
mia³a,22
widzia³,22
rok,22
prezesowa,22
kobiety,22
mieæ,22
panów,22
powóz,22
nikt,22
poszed³,22
wzi¹³,22
ka¿dym,22
maj¹,22
tymczasem,21
klejn,21
jakie,21
prawda,21
poniewa¿,21
powiedz,21
dlatego,21
krzeszowski,21
jesteœ,21
odpowiedzia³a,21
nocy,21
franc,21
pannie,21
poco,21
œwiecie,21
ku,21
g³owy,21
konie,20
chcesz,20
zamiast,20
inny,20
powiem,20
zobaczy³,20
czu³,20
temu,20
dlaczego,20
ni¿,20
swój,20
okna,20
oczyma,20
rozumie,20
patrzy³,20
wcale,19
du¿o,19
swojê,19
przynajmniej,19
dymu,19
sama,19
ale¿,19
nogi,19
odrazu,19
drogê,19
jako,19
g³osem,19
kiedyœ,19
jednym,19
przypatrywa³,19
szczêœcie,19
wci¹¿,19
Ÿle,19
chcê,19
przyszed³,19
takich,19
barona,18
pierwszej,18
konia,18
¿yciu,18
dama,18
widz¹c,18
chodzi,18
czasie,18
d³ugi,18
kaza³,18
¿eby,18
dwie,18
samo,18
tek,18
moja,18
maruszewicz,18
wielkie,18
jednê,18
widok,18
ziemiê,18
dzieci,18
naturalnie,18
ruch,18
zbli¿y³,18
serwis,17
podniós³,17
napoleona,17
¿ycia,17
minut,17
powtórzy³,17
srebra,17
czasem,17
handlu,17
cicho,17
serce,17
ciotki,17
nowy,17
drugiej,17
jednej,17
drogi,17
znaczy,17
rzek³?,17
karty,17
podobno,17
nimi,17
wyszed³,17
œwiata,17
ca³e,17
panem,17
moich,17
mamy,17
jak¹œ,17
mocno,16
miejscu,16
ziemi,16
¿ycie,16
ulicê,16
kochany,16
czêœæ,16
marsza³ek,16
pieniêdzy,16
uwagê,16
opuœci³,16
g³upstwo,16
same,16
by³em,16
nowe,16
jedna,16
jednego,16
powiedzieæ,16
uœmiechem,16
kobieta,16
siedzia³,16
mimo,16
¿em,16
spó³ki,16
nieraz,16
mojej,16
lepiej,16
mego,16
s³u¿¹cy,16
piêkny,16
powozu,15
zupe³nie,15
rzecz,15
obaj,15
zrobiæ,15
usta,15
okiem,15
przepraszam,15
szanowny,15
duchu,15
krzeszowska,15
trzech,15
trzeci,15
samym,15
mówiæ,15
sto,15
mieszkania,15
moim,15
boga,15
zrobi,15
wielkim,15
powiedzia³,15
có¿to,15
jak¹,15
dobry,15
koñ,15
goœæ,15
kroków,15
s³owo,15
gabinetu,15
naszych,15
rêk¹,14
rêki,14
stole,14
raczej,14
miejsce,14
wojny,14
powoli,14
godziny,14
jakim,14
wprawdzie,14
b¹dŸ,14
robiæ,14
odpowiada,14
gdybym,14
honoru,14
swoj¹,14
salonie,14
mog³em,14
tonem,14
myœla³a,14
osób,14
mojê,14
zapyta³,14
g³owie,14
tak¹,14
równie¿,14
tacy,14
owszem,14
œmierci,14
twarzy,14
s³ysza³,14
mniej,14
niby,14
nadewszystko,14
radca,14
ca³a,14
koñcu,14
cztery,14
ksiêcia,14
rzuci³,14
usiad³,14
doktor,14
da³,14
nale¿y,13
szepnê³a,13
pewny,13
tysi¹c,13
wczoraj,13
jakiej,13
robi³,13
pokój,13
¿aden,13
doda³a,13
inne,13
inni,13
pomimo,13
nalewo,13
naszej,13
wysz³a,13
zaczyna,13
tudzie¿,13
naprzeciw,13
mi³oœæ,13
gabinecie,13
piersi,13
wtr¹ci³a,13
subjekt,13
œrodku,13
wody,13
chodzi³,13
poda³,13
sali,13
nóg,13
podczas,13
wielk¹,13
klaczy,13
wielki,13
kupi³,13
stosunki,13
œmieræ,13
szlangbaum,13
widzê,13
towary,13
pocz¹³,13
zosta³,13
spostrzeg³,13
pamiêtasz,13
napoleon,13
takiego,13
chocia¿,13
¿al,13
tobie,13
pracy,13
pann¹,13
szed³,13
otworzy³,13
celu,13
mówiono,13
dam,13
rêku,12
g³êbi,12
wiedzia³,12
wskazuj¹c,12
jakaœ,12
góry,12
dziecko,12
robi¹,12
chcia³em,12
ciê¿ko,12
wielkich,12
móg³by,12
dzisiaj,12
baronowa,12
du¿e,12
pamiêtam,12
jednoczeœnie,12
zerwa³,12
rêkoma,12
spyta³a,12
bardziej,12
maj¹tku,12
drug¹,12
dwaj,12
znalaz³,12
jestto,12
bêd¹,12
serca,12
przypomnia³,12
wygl¹da,12
natychmiast,12
one,12
s³ychaæ,12
widzi,12
kapelusz,12
ignacy?,12
wyraz,12
wieczorem,12
podobny,12
poza,12
kraju,12
bierze,12
musia³,12
pyta³,12
krzykn¹³,12
da,12
staœ,12
swojej,12
mia³em,12
stan¹³,12
piêkn¹,12
wzgórza,12
wydoby³,11
jakiegoœ,11
aby,11
oczu,11
naszego,11
szereg,11
waryat,11
jakimœ,11
¿ony,11
¿ona,11
wydawa³,11
patrzy,11
dopóki,11
drugie,11
gdybyœ,11
zobaczyæ,11
niebo,11
matka,11
piêædziesi¹t,11
wobec,11
przysz³y,11
was,11
ogromne,11
szybko,11
córki,11
umar³,11
stara,11
sami,11
ci¹gu,11
wieku,11
sercu,11
o¿eni³,11
wiele,11
kupca,11
galanteryjny,11
taka,11
mówi³?,11
oczach,11
coto,11
œciskaj¹c,11
dobre,11
ma³o,11
koœcio³a,11
duszy,11
rzeckiego,11
szkoda,11
belu,11
swej,11
ukaza³,11
mraczewskiego,11
rêkach,11
ha,11
obchodzi,11
odezwa³a,11
móg³bym,11
czêœciej,11
z³o¿y³,11
piêkna,11
niepokój,10
nasi,10
lokaj,10
naprawo,10
któremu,10
oknie,10
towarzystwa,10
spaæ,10
dyrektor,10
kwadrans,10
po³o¿y³,10
wyda³,10
mo¿esz,10
nastêpnie,10
doro¿ki,10
obie,10
rezultacie,10
piêtrze,10
kilkanaœcie,10
œmia³,10
przerwa³a,10
przesz³o,10
dawniej,10
napowrót,10
kogoœ,10
mincla,10
pojedynek,10
zrobi³o,10
sta³o,10
handel,10
cz³owiekiem,10
w³osów,10
gdzie¿,10
bêd¹c,10
obiad,10
innym,10
drzew,10
inaczej,10
czo³o,10
binokle,10
bêdziesz,10
powozów,10
samej,10
podobnego,10
nikogo,10
³zy,10
pisa³,10
zaczê³a,10
mówi¹,10
rozumiem,10
gor¹co,10
cofn¹³,10
uk³oni³,10
wielu,10
prezesow¹,10
jechaæ,10
ztamt¹d,10
ode,10
oczy?,10
tysi¹ce,10
noc,10
codzieñ,10
mieœcie,10
drzewa,10
domañski,10
rozmaitych,10
ma³y,10
górze,10
g³upi,10
izabela?,10
zwykle,10
szuman,10
uœmiechn¹³,10
przyjdzie,10
idŸ,10
twój,10
okno,10
godzin,10
ludŸmi,10
ramionami,10
cenê,10
gniew,10
potrzebuje,10
goœci,10
starego,10
zdaleka,10
daæ,10
wolno,10
s,10
piêkne,10
kupców,9
powodu,9
bodaj,9
spokojnie,9
s³u¿ba,9
podnios³a,9
drudzy,9
staruszka,9
czuj¹c,9
któremi,9
uderzy³,9
oknem,9
szare,9
myœleæ,9
idzie,9
le¿a³,9
podnosz¹c,9
miesiêcy,9
rozumiesz,9
ca³ej,9
³êckich,9
zrobiê,9
dwadzieœcia,9
dziesi¹tej,9
dajê,9
wydaje,9
kawa³ek,9
istotnie,9
subjekci,9
drugim,9
poprostu,9
paru,9
pierwsze,9
którem,9
pewnoœci¹,9
po³owie,9
nieba,9
³azienek,9
czegoœ,9
zrobi³a,9
bia³ych,9
niemi,9
wybieg³,9
pó³g³osem,9
armat,9
zwróci³,9
warszawy,9
straci³,9
ledwie,9
rocznie,9
czujê,9
komu,9
interesów,9
myœlisz,9
drugiego,9
rano,9
spojrzenia,9
zpoza,9
zt¹d,9
broñ,9
yung,9
dobrodziej,9
³eb,9
mieli,9
czêsto,9
pojecha³,9
oddawna,9
by³to,9
zakoñczy³,9
rodzaju,9
strony,9
by³oby,9
alei,9
pozwoli,9
30000,9
sprawie,9
strzela,9
œmiechem,9
kupiæ,9
wina,9
jedni,9
po³udniu,9
stolika,9
zpod,9
mog³a,9
moi,9
min¹,9
fizyognomi¹,9
odpar³a,9
¿yd,9
wyjdzie,9
podobne,9
g³osem?,9
stanis³awie,9
stó³,9
pory,9
zwolna,9
jak¿e,9
sto³u,9
wy,9
myœl¹c,9
s³ucha³,9
dym,9
stron,9
czasami,9
trzysta,9
pewien,8
bok,8
w³osy,8
siebie?,8
jedzie,8
wielmo¿ny,8
wygra,8
pañski,8
dalej?,8
s³yszê,8
zawo³a³a,8
wiedzieæ,8
dodatku,8
subjektów,8
fachu,8
okazyi,8
wstyd,8
marzy³,8
ramieniu,8
widzisz,8
postanowi³,8
czêœci,8
ojcem,8
spotka³,8
siódmej,8
widzia³em,8
papo,8
kobiet,8
placu,8
¿ebym,8
dziêkujê,8
minclów,8
wra¿enie,8
du¿y,8
naszym,8
a¿ebym,8
bilet,8
miliony,8
gdym,8
mê¿czyŸni,8
zna,8
wpad³,8
trzymaj¹c,8
kogo,8
florciu,8
poznaæ,8
pamiêtaj,8
kocha,8
spojrzenie,8
pochwyci³,8
mieszka,8
doda³?,8
ust,8
brak,8
temi,8
rozum,8
tu¿,8
innego,8
warszawie,8
maj¹c,8
koniecznie,8
dostanie,8
natury,8
wyœcigach,8
mog¹,8
jaœnie,8
szeroko,8
¿alu,8
kupcy,8
wielka,8
wzrokiem,8
oka,8
katza,8
droga,8
pawe³,8
towarów,8
dotychczas,8
nowego,8
wzruszaj¹c,8
ludziom,8
dobra,8
osoba,8
ma³¹,8
wyjœæ,8
zna³,8
spó³ka,8
uczu³,8
niegdyœ,8
bu³garyi,8
pocz¹tkach,8
ci¹gnê³a,8
bli¿ej,8
wyœcigi,8
krzeœle,8
ist,8
zap³aciæ,8
niedawno,8
racy¹,8
resztê,8
tutaj,8
opar³,8
koñca,8
zbli¿yæ,8
uczuæ,8
dziewczyna,8
kupcem,8
¿adnego,8
ciotk¹,8
spostrzeg³szy,8
ból,8
obiedzie,8
pani¹,8
stoj¹cy,8
weksle,8
maja,8
daj,8
t³um,8
com,8
ubrana,8
cha,8
grossmutter,8
¿ydzi,7
dyabli,7
pierwszym,7
stanie,7
napró¿no,7
kanapie,7
florentyna?,7
mówisz,7
batalion,7
miejsca,7
szafy,7
spacer,7
naco,7
aha,7
mi³oœci,7
m³odzieniec,7
szeœædziesi¹t,7
chc¹c,7
³aski,7
zbyt,7
miesi¹c,7
wœród,7
górê,7
adwokata,7
procent,7
rozmowy,7
¿ydów,7
interesach,7
oprócz,7
belciu,7
dosyæ,7
sreber,7
rachunek,7
spyta³?,7
szeregi,7
to?,7
ponad,7
pójdê,7
domów,7
krwi,7
przechodniów,7
rodziny,7
wyœcig,7
westchn¹³,7
zapyta³a,7
pierwszego,7
strza³,7
dziesiêciu,7
czterysta,7
stronie,7
towarzystwie,7
koni,7
znajdowa³,7
najwiêksz¹,7
pozna³,7
dok¹d,7
byliœmy,7
wyœcigów,7
formie,7
conajmniej,7
bêdziemy,7
kupuje,7
serwisu,7
oœm,7
wam,7
krzes³a,7
uwag¹,7
dziwnie,7
brwi,7
bieg³,7
wp³ywem,7
kamienica,7
krzeszowskiego,7
wnet,7
doœæ,7
tle,7
by³by,7
