word,value
the,8357
and,6259
of,3974
to,2794
a,2413
he,2295
in,2088
that,1717
was,1530
it,1507
his,1342
i,1288
you,1251
they,1189
said,1129
but,1114
for,1064
not,936
as,935
with,885
is,832
at,825
had,819
all,778
on,778
be,690
have,662
there,645
him,626
were,623
now,611
from,605
will,565
them,510
their,493
no,485
we,472
if,464
up,453
came,448
great,440
then,423
or,421
out,420
my,379
are,375
by,369
this,357
so,354
sam,342
come,331
would,329
your,327
me,321
could,319
men,317
more,313
when,300
frodo,298
like,295
into,291
do,289
one,288
upon,287
down,282
before,281
long,272
some,269
what,269
been,262
gandalf,259
still,256
last,256
went,253
back,253
go,249
yet,245
than,244
again,237
pippin,234
about,231
away,231
shall,230
its,214
many,212
see,208
far,202
aragorn,202
only,200
has,197
any,196
looked,191
must,191
dark,190
over,188
merry,186
did,184
king,183
stood,178
lord,178
she,175
saw,174
old,173
even,172
her,172
may,171
who,171
road,169
seemed,169
where,166
city,163
passed,161
black,161
here,160
us,159
an,159
time,157
little,155
our,153
while,152
can,150
through,149
eyes,148
behind,147
day,144
way,142
should,140
hand,140
gondor,138
other,136
though,136
know,134
say,133
heard,131
faramir,131
hope,130
turned,129
set,128
gate,128
thought,127
light,126
‘i,124
things,124
end,124
left,123
am,123
too,122
cried,121
very,121
‘and,121
white,121
‘but,118
think,118
fear,117
ever,116
which,116
rode,115
night,115
after,115
soon,114
much,114
made,114
under,113
days,112
well,111
first,111
himself,111
mr,110
own,109
fell,108
denethor,108
those,108
going,107
off,106
such,106
until,103
beyond,103
grey,103
lay,102
dead,101
face,101
shadow,100
man,98
high,98
land,98
two,97
take,96
above,96
éomer,92
stone,91
heart,91
tower,91
these,90
took,90
side,90
might,90
seen,89
towards,88
let,88
west,88
folk,87
sun,86
good,86
battle,85
ride,85
walls,85
suddenly,85
master,85
head,85
fair,84
north,84
look,84
don’t,83
once,83
sat,82
rohan,81
found,81
got,80
mordor,80
théoden,80
wind,79
how,79
since,78
éowyn,78
get,77
gone,77
voice,76
door,76
coming,75
spoke,75
rose,75
answered,74
darkness,74
war,74
near,74
ran,73
fire,73
company,73
deep,72
find,72
new,72
hobbits,72
right,72
put,71
brought,71
indeed,71
gimli,71
never,71
just,70
small,70
leave,70
hands,70
house,70
also,69
already,69
against,69
east,69
drew,68
words,68
need,68
beside,67
hour,67
between,67
people,66
slowly,66
round,65
along,65
nor,65
felt,65
sword,65
wall,65
riders,65
together,64
enemy,64
speak,63
red,63
shire,63
ring,63
beregond,63
tell,63
enough,62
mind,62
south,62
make,62
tall,61
wish,61
others,61
knew,60
few,60
thing,60
moment,60
hills,59
mountains,59
lady,59
hear,59
gave,59
morning,58
son,58
strength,58
it’s,58
legolas,58
air,57
years,57
among,57
feet,57
green,57
another,57
save,57
evil,56
maybe,56
better,56
began,55
done,55
three,55
called,55
wonder,54
wild,54
wide,54
keep,54
pass,54
silent,54
held,54
host,53
minas,53
place,53
longer,53
clear,52
orcs,52
world,52
silver,52
shadows,52
ere,52
least,52
‘the,52
most,51
can’t,51
houses,51
almost,51
cannot,50
none,50
less,50
without,50
give,49
across,49
mountain,48
fields,48
death,47
captains,47
sent,47
power,47
‘it,47
i’ll,47
water,47
comes,46
cold,46
sam’,46
‘for,46
laid,46
forward,46
there’s,45
tirith,45
captain,45
taken,45
‘you,45
cry,45
always,44
looking,44
citadel,43
field,43
part,43
sound,43
help,43
trees,43
sky,42
river,42
alone,42
nothing,42
bear,42
why,42
forth,42
lost,42
fallen,42
horses,41
hold,41
strange,41
bring,41
sight,41
ruffians,41
arms,41
grew,41
name,40
valley,40
glad,40
lord’,40
won’t,40
each,40
answer,40
eye,40
bore,39
sprang,39
king’s,39
full,39
doubt,39
hill,39
weary,39
want,39
returned,39
laughed,39
below,39
times,39
walked,39
living,38
rest,38
news,38
word,38
short,38
half,38
horse,37
call,37
halted,37
evening,37
heavy,37
followed,37
riding,37
line,37
sauron,37
told,37
paths,37
open,37
filled,37
best,37
i’ve,37
sleep,36
because,36
ready,36
fall,36
turn,36
within,35
‘well,35
plain,35
guard,35
lifted,35
frodo’,35
beneath,35
‘if,35
love,35
use,35
stand,35
being,35
forgotten,35
sea,34
father,34
given,34
chief,34
hearts,34
orc,34
lands,34
trouble,34
path,34
broken,34
voices,34
swiftly,34
remember,34
eastward,33
bit,33
ago,33
it’,33
standing,33
ground,33
led,33
cloak,33
honour,33
something,33
food,33
stay,33
further,33
gloom,32
bag,32
move,32
bowed,32
return,32
rising,32
prince,32
low,32
either,32
memory,32
knights,31
both,31
tidings,31
tree,31
peace,31
he’s,31
imrahil,31
cotton,31
miles,31
meet,31
nazg?l,31
hobbit,31
next,31
mark,31
journey,31
care,30
cast,30
rider,30
i’m,30
haste,30
lie,30
dreadful,30
realm,30
deeds,30
friends,30
foot,30
opened,30
themselves,30
length,30
strong,29
broke,29
horn,29
kings,29
life,29
counsel,29
bitter,29
doom,29
pale,29
wait,29
else,29
died,29
seven,29
die,29
aside,29
same,29
fled,28
country,28
used,28
hidden,28
stones,28
you’ll,28
reached,28
elrond,28
saruman,28
steward,28
anduin,28
hurt,28
wondered,28
running,28
climbed,28
silence,28
year,28
me’,28
known,28
dim,28
grass,28
stars,28
swift,27
rohirrim,27
burden,27
guess,27
vast,27
joy,27
close,27
young,27
healing,27
golden,27
westward,26
unless,26
live,26
faces,26
blew,26
turning,26
boromir,26
command,26
does,26
send,26
foes,26
huge,26
‘we,26
‘he,26
caught,26
hard,26
horns,25
failed,25
rather,25
stopped,25
earth,25
pelennor,25
doors,25
fires,25
mean,25
till,25
despair,25
four,25
shape,25
often,25
remained,25
room,25
goes,24
passing,24
run,24
mighty,24
shadowfax,24
every,24
terror,24
whom,24
moving,24
breath,24
pain,24
quite,24
bilbo,24
bent,24
sighed,24
hundred,24
understand,24
smoke,24
perhaps,24
tears,24
work,24
speed,24
bright,24
taking,24
large,23
dear,23
chamber,23
towers,23
gathered,23
tale,23
neither,23
service,23
travellers,23
met,23
crown,23
worse,23
mithrandir,23
you’,23
proud,23
closed,23
places,23
narrow,23
seems,23
gathering,23
farewell,23
midst,23
became,23
rock,22
big,22
amroth,22
arm,22
body,22
five,22
shagrat,22
lot,22
clad,22
ridden,22
poor,22
ruin,22
banner,22
course,22
burned,22
asked,22
bearing,22
says,22
bed,21
ask,21
crept,21
leagues,21
guessed,21
falling,21
song,21
home,21
burning,21
victory,21
deadly,21
lies,21
fight,21
peril,21
kept,21
frodo’s,21
ithilien,21
vale,21
you’re,21
free,21
muttered,21
march,21
peregrin,21
walk,21
dol,21
cut,21
empty,21
hall,21
growing,20
enemies,20
drawn,20
friend,20
deal,20
greater,20
age,20
anything,20
blow,20
that’s,20
terrible,20
feel,20
we’re,20
destroyed,20
drink,20
cloud,20
softly,20
waiting,20
busy,20
follow,20
ended,20
helm,20
dream,20
foul,20
northward,20
window,20
tried,20
gates,20
drawing,20
lying,20
third,20
blood,20
ten,20
bad,19
mouth,19
‘what,19
leaves,19
sons,19
desire,19
escape,19
wrought,19
i’d,19
isn’t,19
horsemen,19
borne,19
heads,19
ships,19
nearly,19
whole,19
breast,19
sam’s,19
past,19
spoken,19
warden,19
lead,19
lords,19
raised,19
they’ve,19
ship,19
grief,19
galadriel,19
force,19
seem,19
bridge,19
presently,19
hardly,19
errand,19
wood,19
knows,19
shook,19
really,18
table,18
crying,18
talk,18
torches,18
o’,18
desperate,18
gazed,18
sign,18
western,18
front,18
gear,18
forget,18
court,18
garden,18
morgul,18
thus,18
purpose,18
precious,18
stared,18
sudden,18
rang,18
leaped,18
outside,18
dwelt,18
woods,18
weapons,18
spring,18
learn,18
clouds,18
thrust,18
bree,18
hideous,18
built,18
bywater,18
dread,18
aware,17
wrath,17
bid,17
sit,17
labour,17
assault,17
depart,17
true,17
ahead,17
ending,17
climbing,17
edge,17
aloud,17
rolled,17
‘this,17
beast,17
slain,17
flying,17
we’ve,17
gollum,17
floor,17
edoras,17
reach,17
dunharrow,17
everything,17
entered,17
shut,17
watched,17
ill,17
steel,17
come’,17
point,17
dúnedain,17
late,17
lights,17
changed,17
sure,17
needed,17
main,17
you’ve,17
gold,17
amid,16
fighting,16
change,16
stroke,16
sad,16
moon,16
yourself,16
naught,16
madness,16
ought,16
soft,16
companions,16
windows,16
mounted,16
osgiliath,16
flame,16
middleearth,16
slow,16
roads,16
wound,16
swords,16
tired,16
butterbur,16
yes,16
meriadoc,16
army,16
gleam,16
started,16
thee,16
hung,16
rain,16
grim,16
quickly,16
companies,16
eat,16
didn’t,16
step,16
hither,16
shone,16
hobbiton,16
enter,16
hours,16
eastern,16
speech,16
pity,16
safe,15
chance,15
what’s,15
‘now,15
dernhelm,15
gleamed,15
duty,15
cirith,15
moved,15
slept,15
task,15
dare,15
ancient,15
speaking,15
brother,15
whatever,15
sweet,15
hungry,15
outer,15
mist,15
whose,15
mile,15
thither,15
quick,15
lit,15
noise,15
quiet,15
passage,15
seeing,15
knees,15
weariness,15
alive,15
learned,15
vanished,15
street,15
winding,15
pony,15
wings,15
shield,15
defence,15
foe,15
grow,15
gaffer,15
servants,15
lines,15
loud,15
wore,15
singing,15
waited,15
trumpets,15
try,15
thy,15
straight,15
wished,14
him’,14
northern,14
getting,14
seldom,14
