word,value
i,3206
siê,2793
w,2070
nie,1904
na,1839
z,1679
do,1332
a,1226
¿e,1126
to,953
o,614
ale,584
za,571
jak,489
pan,475
mu,457
po,452
co,393
jest,388
od,383
wokulski,363
go,359
tak,355
jej,349
mnie,348
mi,342
ja,317
ju¿,309
tylko,278
nawet,277
który,271
jego,255
ze,240
bo,232
czy,231
jeszcze,224
dla,223
sobie,215
mo¿e,213
on,210
by³o,208
ten,202
przez,197
by³,197
panna,194
albo,186
tego,176
wiêc,167
nim,163
rzek³,163
przy,162
pod,161
bardzo,161
zaœ,158
ma,158
j¹,157
panie,157
izabela,156
ich,155
bêdzie,153
chwili,151
gdy,147
ci,147
nic,140
tej,139
tam,131
tu,130
przed,128
jednak,127
nas,127
cz³owiek,125
u,125
te¿,124
a¿eby,124
jakby,123
wokulskiego,120
bez,120
odpar³,120
które,118
kiedy,118
mia³,117
wszystko,114
nad,113
rubli,113
niej,111
sam,110
no,107
lecz,106
je¿eli,106
dziœ,106
zbyszko,105
mówi³,104
tem,103
znowu,101
byæ,100
potem,99
nich,94
mam,93
pana,92
oczy,90
gdzie,88
ona,87
teraz,87
dobrze,86
coœ,86
sklepu,85
niech,84
niego,84
raz,83
pani,83
wiêcej,83
tym,82
parê,82
ty,81
maæko,81
s¹,80
panny,80
im,80
gdyby,79
by³a,79
których,79
te,79
ciê,78
siebie,77
jakiœ,77
miêdzy,76
wreszcie,76
kto,76
która,76
ni¹,75
jeden,75
a¿,75
jako,74
odpowiedzia³,74
którym,73
baron,73
zawsze,72
dopiero,71
zaraz,71
wiem,69
rêkê,68
stary,68
ludzi,68
kilka,68
domu,67
nam,66
trochê,66
mo¿na,66
pocz¹³,65
ani,64
jestem,64
izabeli,64
ojciec,63
nagle,63
choæ,62
tych,62
ignacy,62
gdy¿,62
chcia³,62
we,62
którzy,61
mój,61
zawo³a³,61
myœla³,60
której,59
drugi,59
taki,59
przecie,58
ach,58
ksi¹¿ê,58
dzieñ,58
ta,58
rêce,57
rzek³?,57
dwa,57
oni,56
spyta³,56
có¿,56
lub,55
móg³,55
sposób,55
bóg,54
chyba,54
ku,54
tysiêcy,53
zreszt¹,52
wszyscy,52
chce,52
zbyszka,52
doda³,52
drzwi,51
czas,51
ludzie,51
hrabina,50
g³owê,50
roku,50
którego,50
tak¿e,50
swego,50
wam,49
bêdê,49
jagienka,49
tomasz,49
nigdy,49
sklepie,49
zych,48
twarz,48
siê?,48
je,48
jeno,47
razem,47
opat,47
chwilê,46
rzek³a,46
któr¹,46
czasu,46
prawie,45
lat,45
by³y,45
sob¹,44
w³aœnie,44
trzeba,44
coraz,44
spojrza³,43
hrabia,43
ni¿,43
pieni¹dze,43
m³ody,43
p,43
dalej,42
sklep,42
cz³owieka,42
proszê,42
ca³y,42
tyle,42
panu,42
bowiem,42
szepn¹³,42
razy,42
póŸniej,42
my,42
choæby,42
wówczas,41
wie,41
ka¿dy,41
zdawa³o,41
innych,41
odezwa³,41
trzy,41
wszystkich,41
nieco,41
musi,41
ani¿eli,40
jutro,40
ile,40
g³ow¹,40
ktoœ,40
dni,39
nasz,39
swoje,39
kilku,39
wszystkie,38
rzeczy,38
was,38
patrz¹c,38
razie,38
naprzód,37
mówi³a,37
klacz,37
takim,37
¿eby,37
wtedy,37
wokulski?,37
myœlê,37
tymczasem,36
stronê,36
œwiat,36
myœl,36
byli,36
maj¹tek,36
mówi,36
pomyœla³,36
mincel,35
rzecki,35
oto,35
mówiê,35
jedno,35
katz,35
czego,35
wokulskiemu,34
jaki,34
ziemiê,34
jakie,34
mraczewski,34
dnia,34
tê,34
wzi¹³,34
czem,33
adwokat,33
fotelu,33
pierwszy,33
bo¿e,33
myœli,33
wszed³,32
ca³¹,32
œwiecie,32
panowie,32
temu,32
mogê,32
mieæ,32
konia,31
przecie¿,31
nogi,31
poszed³,31
co?,31
nami,31
kupiec,31
ulicy,31
takie,31
mia³a,31
moje,31
widaæ,31
ojca,31
by,31
wróci³,30
nimi,30
g³owy,30
widok,30
pannê,30
przerwa³,29
lisiecki,29
mn¹,29
g³os,29
nikt,29
oczyma,29
swoich,29
aby,29
zrobi³,29
odrzek³,29
ciebie,29
nietylko,29
nareszcie,29
zk¹d,29
wy,29
sta³,29
masz,29
zacz¹³,28
kaza³,28
piêæ,28
pokoju,28
rzecz,28
czasie,28
zwróci³,28
dziesiêæ,28
swoim,28
dwie,28
wiesz,28
wtr¹ci³,28
niekiedy,28
obok,27
florentyna,27
³êcki,27
dlatego,27
widzia³,27
odpowiedzia³a,27
list,27
naprawdê,27
nocy,27
œmierci,27
oko³o,27
dwu,27
jakieœ,27
zamiast,27
boga,27
ci¹gle,27
raczek,26
muszê,26
konie,26
gdzieœ,26
sama,26
drogê,26
mrukn¹³,26
dom,26
podniós³,26
ochocki,26
niema,26
cicho,26
otó¿,26
moja,26
ciotka,26
znam,26
maj¹,26
obaj,25
poniewa¿,25
hrabiny,25
pó³,25
samo,25
równie¿,25
jednym,25
koñ,25
lepiej,25
chcê,25
ci¹gn¹³,25
ziemi,25
inny,25
powiem,25
zdaje,25
meliton,25
izabelê,25
da,25
ka¿dym,25
czu³,24
œmieræ,24
zapewne,24
nieraz,24
opata,24
takich,24
poczê³a,24
wokulskim,24
ni,24
wojny,23
zupe³nie,23
damy,23
przynajmniej,23
rok,23
s³ysza³,23
jan,23
robi,23
poczêli,23
wiedzia³,23
bogdañca,23
widz¹c,23
czasem,23
d³ugi,23
okna,23
nasze,22
zobaczy³,22
interes,22
drugiej,22
jednej,22
jagienkê,22
chocia¿,22
tobie,22
Ÿle,22
ca³e,22
przyszed³,22
miejscu,22
wprawdzie,22
bogdañcu,22
du¿o,22
samym,22
mieli,22
serce,22
tak¹,22
znów,22
jedna,22
wielkie,22
swój,22
panów,22
rozumie,22
naszych,22
pierwszej,21
usta,21
powiedz,21
widocznie,21
bêd¹,21
prezesowa,21
franc,21
¿em,21
wci¹¿,21
pannie,21
powóz,21
zbli¿y³,21
patrzy³,21
klejn,21
¿ycie,21
wcale,21
cztan,21
mówiæ,21
kobiety,21
g³osem,21
kiedyœ,21
mojej,21
koñcu,21
i¿,21
jurand,21
powtórzy³,20
krzeszowski,20
bardziej,20
zapyta³,20
nowy,20
drogi,20
przypatrywa³,20
œwiata,20
daæ,20
¿yciu,20
byle,20
dymu,20
jesteœ,20
taka,20
wielk¹,20
jednego,20
oraz,20
siedzia³,20
wyszed³,20
mamy,20
zgorzelic,19
prawda,19
chodzi,19
czêœæ,19
jeœli,19
piersi,19
drug¹,19
ale¿,19
powiedzia³,19
powiedzieæ,19
odrazu,19
takiego,19
kroków,19
poco,19
ruch,19
swojej,19
ozwa³,19
swojê,19
dlaczego,19
serca,19
jechaæ,19
wielkim,19
mimo,19
ma³o,19
podobno,19
ba,19
maæka,19
rêk¹,18
mocno,18
barona,18
dama,18
ca³kiem,18
szybko,18
same,18
by³em,18
strony,18
maruszewicz,18
wilk,18
uœmiechem,18
dzieci,18
jagienki,18
¿al,18
hej,18
dziewczyna,18
szed³,18
zapyta³?,18
nastêpnie,18
chcesz,18
¿ycia,18
trzeci,18
pamiêtam,18
jednoczeœnie,18
g³owie,18
owszem,18
jednê,18
widzê,18
twarzy,18
dobry,18
naturalnie,18
moich,18
piêkny,18
serwis,17
napoleona,17
dwóch,17
handlu,17
wody,17
zycha,17
nowe,17
noc,17
jak¹,17
karty,17
jak¿e,17
celu,17
zdaleka,17
dam,17
jak¹œ,17
miejsce,17
jakim,17
ciê¿ko,17
swoj¹,17
trzech,17
pieniêdzy,17
wiele,17
tacy,17
ciotki,17
szczêœcie,17
ksiêcia,17
otworzy³,17
oczu,16
chc¹c,16
duchu,16
wobec,16
marsza³ek,16
opuœci³,16
g³upstwo,16
mog³em,16
czêsto,16
tek,16
sto,16
przypomnia³,16
natychmiast,16
zosta³,16
s³owo,16
da³,16
s³u¿¹cy,16
nale¿y,16
naszego,16
minut,16
b¹dŸ,16
okiem,16
robiæ,16
ulicê,16
¿aden,16
inne,16
drugie,16
inni,16
inaczej,16
drugiego,16
wilka,16
uwagê,16
spyta³a,16
wielki,16
kobieta,16
znaczy,16
g³osem?,16
jednak¿e,16
mego,16
panem,16
gniew,16
poczem,16
rêki,15
stole,15
raczej,15
w³osy,15
wczoraj,15
chcia³em,15
móg³by,15
srebra,15
naszej,15
krzeszowska,15
salonie,15
zerwa³,15
³zy,15
innego,15
pojecha³,15
mieszkania,15
nóg,15
one,15
oka,15
drodze,15
mniej,15
goœæ,15
ca³a,15
rzuci³,15
powozu,15
zdrowie,15
zrobiæ,15
góry,15
gdybym,15
szanowny,15
kochany,15
œrodku,15
poda³,15
myœla³a,15
osób,15
doœæ,15
znalaz³,15
moim,15
podczas,15
sercu,15
wielu,15
có¿to,15
spostrzeg³,15
spó³ki,15
koœcio³a,15
gabinetu,15
musia³,15
swej,15
pyta³,15
ha,15
rêku,14
szepnê³a,14
pewny,14
zawo³a³a,14
godziny,14
istotnie,14
patrzy,14
widzia³em,14
którem,14
wysz³a,14
zbyszkowi,14
mi³oœæ,14
bywa³,14
tonem,14
rozum,14
niemców,14
zrobi,14
zbyszka?,14
niby,14
cztery,14
doktor,14
stanie,14
powoli,14
któremu,14
jakaœ,14
jakimœ,14
przesz³o,14
doda³a,14
odpowiada,14
spyta³?,14
pójdê,14
du¿e,14
ledwie,14
honoru,14
zaczyna,14
naprzeciw,14
rêkoma,14
wiedz¹c,14
chodzi³,14
boru,14
mojê,14
widzi,14
duszy,14
przyjdzie,14
nadewszystko,14
radca,14
usiad³,14
mówiono,14
tysi¹c,13
spaæ,13
wskazuj¹c,13
zbyt,13
obie,13
ca³ej,13
przepraszam,13
pomimo,13
tudzie¿,13
bêdziesz,13
wtr¹ci³a,13
subjekt,13
³eb,13
maj¹c,13
sami,13
by³oby,13
klaczy,13
kupi³,13
œciskaj¹c,13
drzewa,13
wyraz,13
wieczorem,13
niegdyœ,13
poza,13
zwolna,13
pracy,13
ramionami,13
starego,13
takiej,13
powodu,13
podnios³a,13
uderzy³,13
jakiej,13
ko³o,13
pokój,13
wydawa³,13
nalewo,13
straci³,13
zarazem,13
gabinecie,13
brak,13
córki,13
stosunki,13
wygl¹da,13
mog³a,13
ludziom,13
wiatr,13
pamiêtasz,13
napoleon,13
zwykle,13
ów,13
podobny,13
uœmiechn¹³,13
kraju,13
pann¹,13
ot,13
krzykn¹³,13
goœci,13
wolno,13
mia³em,13
g³êbi,12
dziecko,12
brzozowej,12
krakowie,12
dawniej,12
rycerze,12
matka,12
czegoœ,12
piêædziesi¹t,12
naszym,12
ogromne,12
nikogo,12
woli,12
wnet,12
sali,12
jestto,12
o¿eni³,12
kupca,12
kupiæ,12
wina,12
obu,12
szlangbaum,12
mieœcie,12
rozmaitych,12
bli¿ej,12
bierze,12
izby,12
ludŸmi,12
rêkach,12
mówi¹c,12
ch³opów,12
cenê,12
potrzebuje,12
póki,12
czêœciej,12
com,12
spokojnie,12
nasi,12
wydoby³,12
chwyci³,12
robi¹,12
robi³,12
wielkich,12
czêœci,12
pierwsze,12
dzisiaj,12
baronowa,12
¿ebym,12
niebo,12
warszawy,12
d³ugo,12
czo³o,12
przysz³y,12
doda³?,12
maj¹tku,12
wid³y,12
dwaj,12
s³ychaæ,12
towary,12
zauwa¿y³,12
kapelusz,12
dobre,12
ignacy?,12
podobne,12
szkoda,12
sto³u,12
wiecie,12
ukaza³,12
dziêki,12
staœ,12
stan¹³,12
piêkn¹,12
wzgórza,12
piêkne,12
pierwszym,11
danusi,11
jedzie,11
ksiê¿na,11
wstyd,11
dwadzieœcia,11
szereg,11
przeciw,11
waryat,11
dopóki,11
kogoœ,11
szyjê,11
zrobi³o,11
sta³o,11
cz³owiekiem,11
gdzie¿,11
drzew,11
wozy,11
ust,11
zaczê³a,11
umar³,11
stara,11
by³by,11
potrzeba,11
przytem,11
rad,11
ci¹gu,11
iœæ,11
œmiechem,11
pi³,11
jazdy,11
coto,11
ode,11
droga,11
moi,11
¿yæ,11
g³upi,11
twój,11
¿adnego,11
mraczewskiego,11
odezwa³a,11
s³ucha³,11
daj,11
cztana,11
miejsca,11
jakiegoœ,11
juranda,11
le¿a³,11
po³o¿y³,11
wœród,11
powinien,11
górê,11
kilkanaœcie,11
wojnie,11
¿ona,11
gdybyœ,11
du¿y,11
czyli,11
innym,11
czujê,11
m³odego,11
zapach,11
pamiêtaj,11
rano,11
samej,11
broñ,11
brwi,11
poprzednio,11
mówi¹,11
dziewki,11
szeroko,11
sprawie,11
wieku,11
oczach,11
czeka³,11
oczy?,11
po³udniu,11
spychowa,11
dobra,11
ch³op,11
ma³y,11
stó³,11
t¹,11
zatem,11
pani¹,11
pewnym,11
myœl¹c,11
móg³bym,11
z³o¿y³,11
mogli,11
piêkna,11
wróciwszy,11
bodaj,10
lokaj,10
ró¿nych,10
przyjecha³,10
dyrektor,10
dalej?,10
idzie,10
podnosz¹c,10
rozmawiaæ,10
miesiêcy,10
doro¿ki,10
piêtrze,10
œmia³,10
ojcem,10
sprzedawca,10
poprostu,10
blisko,10
napowrót,10
zobaczyæ,10
mincla,10
zrobi³a,10
handel,10
spojrza³a,10
rocznie,10
weso³o,10
kilkunastu,10
wraz,10
maæko?,10
r¹k,10
powozów,10
krzes³a,10
spojrzenie,10
podobnego,10
wolê,10
tu¿,10
zw³aszcza,10
warszawie,10
rozumiem,10
gotów,10
gor¹co,10
cofn¹³,10
uk³oni³,10
